set_no,name,price_store,price_used,aftermarket,popularity,category,year,volume,weight,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
6822-1,Space Digger,,7.0,,22.200000000000003,Space,1981.0,,,35,22,5,Gray,Black
6842-1,Small Space Shuttle Craft,,9.0,,18.0,Space,1981.0,,,46,30,6,White,Gray
6870-1,Space Probe Launcher,,10.0,,19.799999999999997,Space,1981.0,,,60,34,7,Gray,White
6927-1,All-Terrain Vehicle,14.5,43.0,28.5,36.0,Space,1981.0,,,173,74,10,White,Blue
6929-1,Star Fleet Voyager,15.0,59.0,44.0,57.599999999999994,Space,1981.0,,,246,91,9,Gray,White
7725-1,Electric Passenger Train Set,70.0,185.0,115.0,22.0,Advanced-models,1981.0,,,490,70,9,Black,Red
7862-1,Remote Controlled Decoupling and Signal 12 V,,95.0,,3.0,Advanced-models,1981.0,,,16,12,3,Gray,Gray
8710-1,Technical Elements,,34.0,,4.0,Technical,1981.0,,,124,31,3,Gray,Yellow
8844-1,Helicopter,,26.0,,12.899999999999999,Technical,1981.0,,,320,65,6,Gray,Black
8845-1,Dune Buggy,20.0,17.0,-3.0,28.8,Technical,1981.0,,,176,57,4,Gray,Red
8848-1,Power Truck,,49.0,,25.200000000000003,Technical,1981.0,,,398,94,5,Black,Gray
8859-1,Tractor,,105.0,,22.200000000000003,Technical,1981.0,,,615,107,8,Black,Gray
1590-2,Breakdown Assistance,,127.0,,4.0,Modern-Town,1982.0,,,266,109,11,Yellow,Black
3654-1,Lisa Lamb's House,10.0,16.0,6.0,,Bigfig-Junior,1982.0,,,50,22,8,Yellow,Red
3666-1,Billy Bear and Mortimer Mouse's Service Station,,99.0,,,Bigfig-Junior,1982.0,,,30,19,8,Yellow,Blue
3667-1,Pat and Freddy's Shop,,79.0,,4.0,Bigfig-Junior,1982.0,,,65,29,10,Yellow,Red
3669-1,Fire Station,,49.0,,,Bigfig-Junior,1982.0,,,32,24,8,Blue,Red
3672-1,The Motel,,90.0,,5.0,Bigfig-Junior,1982.0,,,64,29,10,Red,Yellow
3678-1,Lionel Lion's Lodge,,224.0,,,Bigfig-Junior,1982.0,,,117,44,7,Yellow,Red
3708-1,Rufus Rabbit,,6.0,,7.0,Bigfig-Junior,1982.0,,,4,3,3,Tan,Yellow
4005-1,Tug Boat,10.0,22.0,12.0,35.2,Modern-Town,1982.0,,,66,44,11,White,Black
4015-1,Freighter,,65.0,,28.0,Modern-Town,1982.0,,,80,50,11,White,Black
4025-1,Fire Boat,,33.0,,9.0,Modern-Town,1982.0,,,150,66,10,White,Black
6302-1,Mini-Figure Set,,30.0,,10.0,Modern-Town,1982.0,,,31,25,8,White,Yellow
6308-1,Policemen,,6.0,,,Modern-Town,1982.0,,,20,9,5,Black,White
6362-1,Post Office,,40.0,,47.0,Modern-Town,1982.0,,,135,53,8,Red,Blue
6372-1,Town House,,47.0,,19.2,Modern-Town,1982.0,,,238,78,10,Blue,Red
6607-1,Service Truck,,4.0,,20.0,Modern-Town,1982.0,,,25,18,7,Black,Yellow
6608-1,Tractor,,3.0,,14.0,Modern-Town,1982.0,,,21,16,6,Black,Red
6651-1,Mail Truck,,11.0,,21.0,Modern-Town,1982.0,,,46,31,7,Yellow,Black
6653-1,Highway Maintenance Truck,,11.0,,18.0,Modern-Town,1982.0,,,56,35,8,Blue,White
6685-1,Fire Copter 1,,10.0,,34.300000000000004,Modern-Town,1982.0,,,99,46,9,Red,Black
6880-1,Surface Explorer,7.5,23.0,15.5,16.0,Space,1982.0,,,83,39,4,Gray,Black
6890-1,Cosmic Cruiser,11.0,28.0,17.0,19.2,Space,1982.0,,,115,60,9,White,Blue
