set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
30080-1,Ninja Glider,Action/Adventure,Ninjago,Pilot Season,2011.0,26.0,1.0,/inventories/30080-1,/minifigs/inset-30080-1,$3.47,"New: $6, Used: $6",3.8,12,"Zane, Glider, Ninjago Ninjas, Polybag",Normal,Polybag,[UK] Available as part of The Sun newspaper promotion in May 2011.[US] Available from Walmart for $3.47 during Dec 2011.[ID] Released alongside 5 Papermate pens of varying colors (Black or blue) for the price of IDR 45.000.
30081-1,Skeleton Chopper,Action/Adventure,Ninjago,Pilot Season,2011.0,41.0,1.0,/inventories/30081-1,/minifigs/inset-30081-1,£4.99,"New: $6, Used: $4",3.5,2,"Frakjaw, Helicopter, Polybag, Skulkin",Normal,Polybag,[UK] Promotional set given away with The Sun newspaper in the UK on 18th May 2011. Also given away in a TRU promotion with a £15 spend on Ninjago in August 2011.[US] Available from TRU free with any LEGO Ninjago set purchase of $20+ during March 2011.[ID] Released alongside 5 Papermate pens of varying colors (Black or blue) for the price of IDR 45.000.
30082-1,Ninja Training,Action/Adventure,Ninjago,Pilot Season,2011.0,32.0,1.0,/inventories/30082-1,/minifigs/inset-30082-1,$3.47,"New: $4, Used: $5",4.5,4,"Jay Walker, Ninjago Ninjas, Polybag, Shrine",Normal,Polybag,[UK] Available as part of The Sun newspaper promotion in October 2011.[US] Available from Walmart for $3.47 during Dec 2011.[ID] Released alongside 5 Papermate pens of varying colors (Black or blue) for the price of IDR 45.000.
30083-1,Dragon Fight,Action/Adventure,Ninjago,Pilot Season,2011.0,31.0,1.0,/inventories/30083-1,/minifigs/inset-30083-1,,"New: $9, Used: $4",4.0,5,"Kai, Dragon, Fire, Ninjago Ninjas, Polybag",Normal,Polybag,[UK] Promotional set given away with The Sun newspaper in the UK on 19th May 2011.[US] Target exclusive.
30084-1,Jay,Action/Adventure,Ninjago,Promotional,2011.0,5.0,1.0,/inventories/30084-1,/minifigs/inset-30084-1,,"New: $7, Used: $6",3.0,1review,"Jay Walker, Lightning, Ninjago Ninjas, Polybag",Normal,Polybag,[UK] Released in the UK and contains a Jay Minifigure with a black katana.
30090-1,Desert Glider,Historical,Pharaoh's Quest,,2011.0,33.0,1.0,/inventories/30090-1,/minifigs/inset-30090-1,,"New: $5, Used: $2",3.5,2,"Jake Raines, Aircraft, Polybag, Propeller Aircraft",Normal,Polybag,[UK] Promotional set given away with The News of The World newspaper in the UK on 22nd May 2011.[ROI] Promotional set given away with The Sunday Times on 11 Dec 2011.
30091-1,Desert Rover,Historical,Pharaoh's Quest,,2011.0,34.0,1.0,/inventories/30091-1,/minifigs/inset-30091-1,,"New: $6, Used: $2",2.0,1review,"Jake Raines, Car, Polybag",Normal,Polybag,[UK] Promotional set given away with The Sun newspaper in the UK on 20th May 2011 
30110-1,Trolley,Licensed,Harry Potter,Mini Building Set,2011.0,22.0,1.0,/inventories/30110-1,/minifigs/inset-30110-1,$4.99,"New: $12, Used: $7",3.0,2,"Harry Potter, Cart, Owl, Polybag",Normal,Polybag,[UK] Available as part of The Sun newspaper promotion in October 2011.[US] Available from TRU for $4.99 (Aug 2011)
30111-1,The Lab,Licensed,Harry Potter,Mini Building Set,2011.0,34.0,1.0,/inventories/30111-1,/minifigs/inset-30111-1,$3.99,"New: $10, Used: $7",3.5,8,"Harry Potter, Lab, Magic, Polybag, Spider",Normal,Polybag,[UK] Available as part of The Sun newspaper promotion in October 2011.[US] Available to purchase at Target for $3.99 (Nov 11)[CA] Given away free with pre-orders of LEGO Harry Potter Years 4-7 at TRU in Canada. Also free when you spend $35 or more on LEGO at Toys R Us Canada as part of Bricktober.
30120-1,Guido,Licensed,Cars,Cars 2,2011.0,32.0,0.0,/inventories/30120-1,,,"New: $14, Used: $9",,,"Disney, Forklift, Guido, Pixar, Polybag, World Grand Prix",Normal,Polybag,
30121-1,Grem,Licensed,Cars,Cars 2,2011.0,54.0,0.0,/inventories/30121-1,,£3.99,"New: $4, Used: $3",3.0,1review,"Cars 2, Disney, Grem, Pixar, Polybag",Normal,Polybag,[UK] Available as part of The Sun newspaper promotion in October 2011. Later sold at TRU for £3.99
30130-1,Mini Black Pearl,Licensed,Pirates of the Caribbean,,2011.0,50.0,0.0,/inventories/30130-1,,,"New: $12, Used: $3",3.5,2,"Disney, Galleon, Microscale, Modern Disney, Pirates, Polybag, Ship",Normal,Polybag,[UK] Available as part of The Sun newspaper promotion in May 2011.[US] Available at Target as an exclusive promotion: buy PotC OST on 3D Blu-Ray for $50 and get the mini Black Pearl free. Available from October 18th 2011.
30131-1,Jack Sparrow's Boat,Licensed,Pirates of the Caribbean,,2011.0,22.0,1.0,/inventories/30131-1,/minifigs/inset-30131-1,,"New: $14, Used: $9",4.0,2,"Captain Jack Sparrow, Boat, Disney, Modern Disney, Polybag",Normal,Polybag,[UK] Promotional set given away with the News of The World newspaper in the UK on 15th May 2011.[NL] Available at Gamma stores in the Netherlands with a 50 Euro purchase during October 2011 (also sold separately).
30132-1,{Captain Jack Sparrow},Licensed,Pirates of the Caribbean,,2011.0,4.0,1.0,/inventories/30132-1,/minifigs/inset-30132-1,$2.99,"New: $13, Used: Not known",4.2,5,"Captain Jack Sparrow, Disney, Modern Disney, On Stranger Tides, Polybag",Normal,Polybag,[US] Game Stop FREE exclusive LEGO Captain Jack Sparrows minifigure when you pre-order LEGO Pirates of the Caribbean: The Video Game. Also available for sale at TRU ($2.99) and Best Buy ($9.99).
30133-1,Jack Sparrow,Licensed,Pirates of the Caribbean,,2011.0,5.0,1.0,/inventories/30133-1,/minifigs/inset-30133-1,,"New: $14, Used: Not known",,,"Captain Jack Sparrow, Disney, Modern Disney, Polybag",Normal,Polybag,[Sweden] Given away free with a Donald Duck-comic during September 2011
30140-1,ADU Walker,Action/Adventure,Space,Alien Conquest,2011.0,34.0,1.0,/inventories/30140-1,/minifigs/inset-30140-1,,"New: $6, Used: $5",,,"Mech, Polybag, Walker",Normal,Polybag,"[UK] 10,000 were given away as a prize in a competition run by The Sun newspaper on Facebook during October 2011."
30141-1,Jetpack,Action/Adventure,Space,Alien Conquest,2011.0,19.0,1.0,/inventories/30141-1,/minifigs/inset-30141-1,,"New: $3, Used: $2",4.0,12,Polybag,Normal,Polybag,[UK] Free with £25 purchase at [email protected] and LEGO brand stores in August 2011. Also available as part of The Sun newspaper promotion in October 2011.[US] Free with $35 purchase at [email protected] and LEGO brand stores in August 2011.
40015-1,Heart Book,Miscellaneous,Seasonal,Valentine's Day,2011.0,51.0,0.0,/inventories/40015-1,,"£2.99, $4.99","New: $11, Used: $15",4.0,2,"Polybag, Valentine",Normal,Polybag,
40016-1,Valentine Letter Set,Miscellaneous,Seasonal,Valentine's Day,2011.0,41.0,0.0,/inventories/40016-1,,"£2.99, $4.99","New: $22, Used: Not known",,,"Brick Lettering, Polybag, Valentine",Normal,Polybag,
40017-1,Easter Basket,Miscellaneous,Seasonal,Easter,2011.0,86.0,0.0,/inventories/40017-1,,"£2.99, $4.99","New: $17, Used: $9",3.5,2,"Easter, Polybag",Normal,Polybag,
40018-1,Easter Bunny,Miscellaneous,Seasonal,Easter,2011.0,95.0,0.0,/inventories/40018-1,,"£2.99, $4.99","New: $22, Used: $20",4.0,1review,"Brick Built Animals, Easter, Polybag, Rabbit",Normal,Polybag,
40019-1,Brickley the Sea Serpent,Miscellaneous,Miscellaneous,,2011.0,59.0,0.0,/inventories/40019-1,,,"New: $10, Used: $4",4.0,4,"Brickley, Polybag, Snake",Normal,Polybag,
40020-1,Halloween Set,Miscellaneous,Seasonal,Halloween,2011.0,71.0,0.0,/inventories/40020-1,,"£3.99, $4.99","New: $12, Used: $1",3.0,1review,"Bat, Ghost, Halloween, Polybag, Pumpkin Head, Spooky",Normal,Polybag,
40021-1,Spiders Set,Miscellaneous,Seasonal,Halloween,2011.0,54.0,0.0,/inventories/40021-1,,"£3.99, $4.99","New: $6, Used: $5",3.0,2,"Brick Built Animals, Halloween, Polybag, Spider, Spooky",Normal,Polybag,
40022-1,Mini Santa Set,Miscellaneous,Seasonal,Christmas,2011.0,72.0,0.0,/inventories/40022-1,,"£3.99, $4.99","New: $10, Used: $5",5.0,1review,"Brick Built Figure, Christmas, Polybag, Santa Claus, Sled",Normal,Polybag,
40023-1,Holiday Stocking,Miscellaneous,Seasonal,Christmas,2011.0,76.0,0.0,/inventories/40023-1,,"£3.99, $4.99","New: $10, Used: $5",,,"Christmas, Polybag",Normal,Polybag,
40024-1,Christmas Tree,Miscellaneous,Seasonal,Christmas,2011.0,77.0,0.0,/inventories/40024-1,,"£3.99, $4.99","New: $9, Used: $5",4.0,1review,"Brick Built Tree, Christmas, Christmas Tree, Polybag",Normal,Polybag,
40027-1,Christmas Candle,Miscellaneous,Seasonal,Christmas,2011.0,,0.0,,,,"New: Not known, Used: Not known",,,Unreleased,Normal,,
40028-1,Mini Hogwarts Express,Licensed,Harry Potter,Mini Building Set,2011.0,64.0,0.0,/inventories/40028-1,,"£3.99, $4.99","New: $13, Used: $7",4.0,2,"Hogwarts Express, Microscale, Polybag, Steam Locomotive",Normal,Polybag,Free when you buy Diagon Alley from shop.lego.com August 2011. Was later available for sale from Shop At Home throughout 2012.
66375-1,City Super Pack 4 in 1,Modern day,City,Product Collection,2011.0,352.0,0.0,,,,"New: $67, Used: Not known",,,,Collection,,Contains 7235-1 7279-1 7286-1 7741-1 
66377-1,Star Wars Super Pack 3 in 1,Licensed,Star Wars,Product Collection,2011.0,484.0,0.0,,,,"New: $107, Used: Not known",,,"Droid, Galactic Republic, Mandalorians, Separatists",Collection,,Contains 7869-1 7913-1 7914-1 
66378-1,Star Wars Super Pack 3 in 1,Licensed,Star Wars,Product Collection,2011.0,330.0,0.0,,,,"New: $97, Used: Not known",5.0,1review,"Galactic Republic, Mandalorians",Collection,,Contains 7913-1 7914-1 8085-1 
66379-1,Co-Pack DUPLO Bricks & More,Pre-school,Duplo,Product Collection,2011.0,145.0,0.0,,,,"New: $33, Used: Not known",,,,Collection,,Contains 5509-1 6130-1 
66380-1,Co-Pack System Bricks & More,Basic,Bricks and More,Product Collection,2011.0,970.0,0.0,,,,"New: Not known, Used: Not known",,,,Collection,Other,Contains 5529-1 6131-1 
66383-1,Super Pack 3 in 1,Action/Adventure,Ninjago,Product Collection,2011.0,599.0,0.0,,,,"New: $74, Used: $58",,,,Collection,Box,Contains 2258-1 2259-1 2519-1 
66386-1,Super Pack 3 in 1,Licensed,Cars,Product Collection,2011.0,823.0,0.0,,,,"New: $179, Used: Not known",,,"Camper Van, Disney, Forklift, Pit Stop, Pixar, Racing Car, Service Station, Tow Truck, Volkswagen",Collection,,Contains 8206-1 8426-1 8487-1 
66387-1,3-in-1 Super Pack,Licensed,Cars,Product Collection,2011.0,234.0,0.0,,,,"New: $45, Used: Not known",,,"Disney, Forklift, Pit Stop, Pixar, Racing Car, Tow Truck",Collection,,Contains 8200-1 8201-1 8206-1 
66388-1,City Super Pack 4 in 1,Modern day,City,Product Collection,2011.0,964.0,0.0,,,,"New: $164, Used: Not known",,,,Collection,,Contains 7235-1 7279-1 7285-1 7498-1 
66389-1,City Police Super Pack 5 in 1,Modern day,City,Product Collection,2011.0,828.0,0.0,,,,"New: $86, Used: Not known",,,Police,Collection,Box,Contains 7279-1 7285-1 7286-1 7288-1 7741-1 
