set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
6338-1,Hurricane Harbour,Modern day,Town,Coastguard,1995.0,364.0,3.0,,/minifigs/inset-6338-1,$49.50,"New: $172, Used: $62",4.7,3,"4X4, Aircraft, Boat, Car, Coast Guard, Dolphin, Harbour, Helicopter, Landing Pad, Octan, Off Roader, Propeller Aircraft, Raised Baseplate, Speedboat",Normal,Box,
6339-1,Shuttle Launch Pad,Modern day,Town,Launch Command,1995.0,564.0,4.0,,/minifigs/inset-6339-1,$66.00,"New: $287, Used: $99",5.0,14,"Base, Baseplate, Crane, Road Baseplate, Satellite, Science, Space, Space Shuttle",Normal,Box,
6414-1,Dolphin Point,Modern day,Town,Paradisa,1995.0,207.0,4.0,,/minifigs/inset-6414-1,$33.00,"New: $212, Used: $66",4.5,2,"Baseplate, Bbq, Beach, Boat, Dolphin, Frozen Treats, Island, Lighthouse, Parrot, Restaurant, Shop, Surfing",Normal,Box,
6484-1,F1 Hauler,Modern day,Town,Rescue,1995.0,269.0,3.0,,/minifigs/inset-6484-1,$49.50,"New: $277, Used: $58",5.0,2,"9V, Electric, Formula 1, Light And Sound System, Octan, Racing, Racing Car, Service Vehicle, Tow Truck, Truck",Normal,Box,Includes 9V light elements plus a micro motor.
6516-1,Moon Walker,Modern day,Town,Launch Command,1995.0,34.0,1.0,/inventories/6516-1,/minifigs/inset-6516-1,$3.00,"New: $17, Used: $4",3.5,8,"Space, Space Shuttle",Normal,Box,
6525-1,Blaze Commander,Modern day,Town,Fire,1995.0,50.0,1.0,/inventories/6525-1,/minifigs/inset-6525-1,$4.50,"New: $15, Used: $4",3.7,3,"Convertible, Fire, Fire Car, Off Roader",Normal,Box,
6535-1,Dumper,Modern day,Town,Construction,1995.0,42.0,1.0,/inventories/6535-1,/minifigs/inset-6535-1,$4.50,"New: $19, Used: $5",4.0,2,"Construction, Dump Truck, Tipper Truck",Normal,Box,
6544-1,Shuttle Transcon 2,Modern day,Town,Launch Command,1995.0,342.0,3.0,/inventories/6544-1,/minifigs/inset-6544-1,$38.50,"New: $214, Used: $59",4.8,6,"Aircraft, Jet Aircraft, Satellite, Space, Space Shuttle",Normal,Box,
6562-1,Gas Stop Shop,Modern day,Town,Shops and Services,1995.0,221.0,3.0,/inventories/6562-1,/minifigs/inset-6562-1,$24.50,"New: $52, Used: $25",4.6,5,"Octan, Service Station, Tanker, Tanker Vehicle, Tow Truck, Truck",Normal,Box,
6596-1,Wave Master,Modern day,Town,Boats,1995.0,134.0,1.0,/inventories/6596-1,/minifigs/inset-6596-1,$12.00,"New: $32, Used: $15",4.6,5,"4X4, Boat, Octan, Powerboat, Trailer",Normal,Box,
6614-1,Launch Evac 1,Modern day,Town,Launch Command,1995.0,122.0,1.0,/inventories/6614-1,/minifigs/inset-6614-1,$9.25,"New: $32, Used: $8",4.3,8,"Fire, Space, Space Shuttle",Normal,Box,
6639-1,Raven Racer,Modern day,Town,Racing,1995.0,66.0,1.0,,/minifigs/inset-6639-1,$7.25,"New: $16, Used: $5",3.7,3,"Dragster, Racing, Racing Car",Normal,Box,
6649-1,Street Sweeper,Modern day,Town,Maintenance,1995.0,63.0,1.0,/inventories/6649-1,/minifigs/inset-6649-1,$6.75,"New: $37, Used: $9",4.8,4,"Road Sweeper, Service Vehicle",Normal,Box,Included in 23-2 
8210-1,Nitro GTX bike,Technical,Technic,,1995.0,86.0,0.0,/inventories/8210-1,,$20.00,"New: $50, Used: $5",4.0,1review,"Functional Steering, Motor Trike, Motorcycle, Racing, Sprung",Normal,Box,
8225-1,Road Rally V,Technical,Technic,,1995.0,96.0,1.0,,/minifigs/inset-8225-1,,"New: $9, Used: $11",5.0,2,"Functional Steering, Go Kart, Racing, Racing Car, Technic Figs",Normal,Box,
8235-1,Front End Loader,Technical,Technic,,1995.0,165.0,1.0,/inventories/8235-1,/minifigs/inset-8235-1,$30.00,"New: $36, Used: $34",3.5,2,"Construction, Front Loader, Functional Steering, Skid Loader, Technic Figs",Normal,Box,
8280-1,Fire Engine,Technical,Technic,,1995.0,424.0,2.0,/inventories/8280-1,/minifigs/inset-8280-1,$55.00,"New: $77, Used: $42",4.7,3,"Fire Truck, Jeep, Technic Figs, Trailer",Normal,Box,
8412-1,Nighthawk,Technical,Technic,,1995.0,286.0,0.0,/inventories/8412-1,,$29.75,"New: $70, Used: $32",4.5,2,"Aircraft, Helicopter, Propeller Aircraft",Normal,Box,
8422-1,Circuit Shock Racer,Technical,Technic,,1995.0,315.0,0.0,/inventories/8422-1,,$33.00,"New: $68, Used: $33",4.0,1review,"Dragster, Functional Steering, Motorcycle, Racing Car, Sprung",Normal,Box,
8440-1,Formula Flash,Technical,Technic,,1995.0,414.0,0.0,/inventories/8440-1,,$54.00,"New: $100, Used: $33",3.0,1review,"Formula 1, Hot Rod, Octan, Racing, Racing Car",Normal,Box,
8460-1,Pneumatic Crane Truck,Technical,Technic,,1995.0,850.0,0.0,/inventories/8460-1,,$99.00,"New: $245, Used: $96",5.0,6,"Construction, Crane, Mobile Crane, Pneumatic",Normal,Box,Re-released as 8431-1 8438-1 
8485-1,Control Centre II,Technical,Technic,,1995.0,1079.0,0.0,/inventories/8485-1,,$219.00,"New: $499, Used: $159",5.0,3,"9V, Dinosaur, Electric, Flagship Set, Helicopter, Hovercraft, Remote Control",Normal,Box,
9170-1,Community People Set,Educational,Dacta,,1995.0,18.0,18.0,,/minifigs/inset-9170-1,$28.60,"New: Not known, Used: Not known",,,"Baby, Duplo, Fire, Medical, Minifigure Pack, Police",Normal,,
9171-1,World People,Educational,Dacta,,1995.0,24.0,24.0,,/minifigs/inset-9171-1,$38.50,"New: $60, Used: Not known",,,"Baby, Duplo, Fire, Medical, Minifigure Pack, Police",Normal,,
9605-1,4.5V Technic Resource Set,Educational,Dacta,Technic,1995.0,268.0,0.0,,,,"New: Not known, Used: Not known",,,,Normal,Box,
9609-1,Technology Resource Set,Educational,Dacta,Technic,1995.0,1733.0,0.0,/inventories/9609-1,,,"New: $400, Used: Not known",,,"Electric, Pneumatic",Normal,Box,
9652-1,Fun Time Gears,Educational,Dacta,Duplo,1995.0,27.0,0.0,/inventories/9652-1,,,"New: Not known, Used: $65",,,,Normal,,
9653-1,Mechanical Toy Shop,Educational,Dacta,Duplo,1995.0,32.0,2.0,,/minifigs/inset-9653-1,,"New: Not known, Used: Not known",,,,Normal,Plastic box,
9660-1,Early Structures,Educational,Dacta,,1995.0,107.0,2.0,/inventories/9660-1,/minifigs/inset-9660-1,$69.00,"New: $94, Used: Not known",,,Duplo,Normal,,
9701-1,Control Lab Building Set,Educational,Dacta,Technic,1995.0,557.0,0.0,/inventories/9701-1,,,"New: $198, Used: $125",,,"9V, Baseplate, Electric, Electric Motor, Greenhouse, Light Brick, Sound Brick, Vending Machine, Wheelchair",Normal,Plastic box,
9751-1,Control Lab Serial Interface & Adapter,Educational,Dacta,Technic,1995.0,2.0,0.0,,,,"New: $122, Used: $40",,,Electric,Normal,Box,
9891-1,Angle Sensor,Educational,Dacta,,1995.0,1.0,0.0,,,$25.00,"New: $6, Used: Not known",,,Electric,Normal,,Year of release yet to be confirmed.
9938-1,Conveyor Belt Links,Educational,Dacta,,1995.0,36.0,0.0,/inventories/9938-1,,$6.25,"New: $8, Used: Not known",,,Technic,Normal,,Release date TBC
624-1,"Basic Motor, 9V",Basic,Basic,Supplementaries,1996.0,27.0,0.0,/inventories/624-1,,$26.00,"New: $32, Used: $19",,,"9V, Electric, Electric Motor",Normal,,Includes battery box and motor.
626-1,"Building Plate, Green",Basic,Basic,Supplementaries,1996.0,1.0,0.0,/inventories/626-1,,"£6.99, $4.99","New: $7, Used: $7",4.3,23,"Accessory, Baseplate",Normal,Other,32 x 32 studs.Included in KCCHP-1 
627-1,"Building Plate, Blue",Basic,Basic,Supplementaries,1996.0,1.0,0.0,/inventories/627-1,,$5.50,"New: $20, Used: $9",4.0,3,"Accessory, Baseplate",Normal,,32 x 32 studs.
628-1,X-Large Baseplate Grey,Basic,Basic,Supplementaries,1996.0,1.0,0.0,/inventories/628-1,,"£10.49, $14.99","New: $15, Used: $11",4.4,19,"Accessory, Baseplate",Normal,Shrink-wrapped,Re-released version of 843-1 
629-1,Three Building Plates,Basic,Basic,Supplementaries,1996.0,3.0,0.0,,,$5.50,"New: Not known, Used: Not known",,,,Normal,,"One red, one green and one yellow building plate each 8 x 16 studs."
630-1,"Brick Separator, Green",Basic,Basic,Supplementaries,1996.0,1.0,0.0,,,"£1.99, $2.49","New: $3, Used: $1",4.8,27,"Accessory, Polybag",Normal,Polybag,
631-1,Doors and Windows,Basic,Basic,Supplementaries,1996.0,52.0,0.0,/inventories/631-1,,,"New: $21, Used: $8",5.0,1review,,Normal,Box,
632-1,Wheels and Tyres,Basic,Basic,Supplementaries,1996.0,60.0,0.0,/inventories/632-1,,,"New: $14, Used: $5",5.0,2,,Normal,,Boxed set.
633-1,Roof Tiles,Basic,Basic,Supplementaries,1996.0,50.0,0.0,/inventories/633-1,,,"New: $5, Used: $7",,,,Normal,,Boxed set.
634-1,Extra Bricks in Red,Basic,Basic,Supplementaries,1996.0,62.0,0.0,/inventories/634-1,,,"New: $9, Used: $7",,,,Normal,Box,
635-1,Extra Bricks in White,Basic,Basic,Supplementaries,1996.0,62.0,0.0,/inventories/635-1,,,"New: $10, Used: Not known",,,,Normal,Box,
636-1,"Pull Back Motor, 3+",Basic,Basic,Supplementaries,1996.0,14.0,0.0,/inventories/636-1,,,"New: $10, Used: Not known",,,,Normal,,Red pull-back motor.
637-1,Play Table,Basic,Basic,Supplementaries,1996.0,3.0,0.0,,,$45.00,"New: Not known, Used: Not known",,,,Normal,,"Red, yellow and green building table suitable for DUPLO and LEGO System building."
638-1,"Lots of Extra Basic Bricks, 3+",Basic,Basic,Supplementaries,1996.0,404.0,0.0,,,,"New: Not known, Used: Not known",,,,Normal,,Boxed set.
639-1,"Lots of Extra Basic Bricks, 5+",Basic,Basic,Supplementaries,1996.0,400.0,0.0,/inventories/639-1,,$19.75,"New: $42, Used: Not known",,,,Normal,,Boxed set.
1728-1,Crystal Crawler,Action/Adventure,Aquazone,Aquanauts,1996.0,97.0,1.0,,/minifigs/inset-1728-1,$10.00,"New: $45, Used: $25",4.3,6,"Raised Baseplate, Seafloor Vehicle, Submarine",Normal,Box,US only. Same as 6145 but came with a plastic 'sea bed'. Instruction book has both set numbers.Same as 6145-1 
1737-1,Scorpion Detector,Action/Adventure,Space,Exploriens,1996.0,196.0,2.0,,/minifigs/inset-1737-1,$20.00,"New: $155, Used: $20",5.0,3,Ground Vehicle,Normal,Box,Limited release available in different open front packaging to that of standard release (6938).Same as 6938-1 
1747-1,Treasure Surprise,Historical,Pirates,,1996.0,22.0,1.0,/inventories/1747-1,/minifigs/inset-1747-1,$2.00,"New: $14, Used: $6",4.8,5,,Normal,Box,Boxed version of 1802-1 
1749-1,Paravane,Action/Adventure,Aquazone,Aquanauts,1996.0,16.0,1.0,,/minifigs/inset-1749-1,$2.00,"New: $5, Used: $3",4.0,4,Underwater,Normal,Box,Boxed version of 1806-1 
1751-1,Small Bulk Bucket,Pre-school,Duplo,,1996.0,27.0,1.0,/inventories/1751-1,/minifigs/inset-1751-1,,"New: Not known, Used: Not known",,,,Normal,Bucket,Yellow bucket set.
1752-1,Boat with Armour,Historical,Castle,Royal Knights,1996.0,21.0,1.0,/inventories/1752-1,/minifigs/inset-1752-1,,"New: $17, Used: $5",5.0,2,"Boat, Rowing Boat",Normal,Box,Boxed version of 1804-1 Same as 2892-1 
1753-1,Medium Bulk Bucket,Pre-school,Duplo,,1996.0,,0.0,,,,"New: Not known, Used: Not known",,,,Normal,Bucket,Medium green bucket.
1754-1,Supplementary Set,Pre-school,Duplo,,1996.0,100.0,0.0,,,,"New: Not known, Used: Not known",,,,Normal,Box,
1776-1,Bonus Value Bucket,Basic,Basic,,1996.0,950.0,0.0,/inventories/1776-1,,$20.00,"New: Not known, Used: Not known",,,,Normal,,Similar to 1819-1 
1777-1,Plane,Basic,Basic,,1996.0,10.0,0.0,/inventories/1777-1,,,"New: $3, Used: $1",,,"Aircraft, Polybag",Normal,Polybag,"Promotional release with Sabah newspaper, Turkey. Also Estonia and Danone, Belgium."
1778-1,Boat,Basic,Basic,,1996.0,9.0,0.0,/inventories/1778-1,,,"New: $4, Used: $2",,,Polybag,Normal,Polybag,"Promotional release with Sabah newspaper, Turkey. Also Estonia, Legoland Windsor Pizza resturant and Danone, Belgium."
1779-1,Helicopter,Basic,Basic,,1996.0,10.0,0.0,/inventories/1779-1,,,"New: $5, Used: $2",,,"Helicopter, Polybag",Normal,Polybag,"Promotional release with Sabah newspaper, Turkey. Also Estonia and Danone, Belgium."
1784-1,Animals Bulk Box,Pre-school,Duplo,,1996.0,21.0,0.0,,,,"New: Not known, Used: Not known",,,,Normal,Box,
1796-1,Freestyle Bucket,Basic,Freestyle,,1996.0,641.0,0.0,/inventories/1796-1,,$20.00,"New: Not known, Used: $30",5.0,1review,,Normal,Bucket,Large red bucket set.
1797-1,Bonus Bucket,Pre-school,Duplo,,1996.0,90.0,0.0,/inventories/1797-1,,$20.00,"New: Not known, Used: Not known",5.0,1review,,Normal,Bucket,Large yellow bucket set.
1802-1,Tidy Treasure,Historical,Pirates,,1996.0,22.0,1.0,,/minifigs/inset-1802-1,$2.00,"New: $30, Used: $10",5.0,1review,Polybag,Normal,Polybag,Polybag version of 1747-1 
1804-1,Crossbow Boat,Historical,Castle,Royal Knights,1996.0,21.0,1.0,,/minifigs/inset-1804-1,$2.00,"New: $30, Used: $11",4.5,2,"Boat, Polybag, Rowing Boat",Normal,Polybag,Polybag version of 1752-1 Same as 2892-1 
1806-1,Underwater Scooter,Action/Adventure,Aquazone,Aquanauts,1996.0,16.0,1.0,,/minifigs/inset-1806-1,,"New: $13, Used: $6",4.7,6,Polybag,Normal,Polybag,Polybag version of 1749-1 
1808-1,Light Aircraft and Ground Support,Modern day,Town,Special,1996.0,122.0,2.0,/inventories/1808-1,/minifigs/inset-1808-1,$10.00,"New: $53, Used: $23",3.0,1review,"Aircraft, Airline Promo, Airplane, Airport, Octan, Propeller Aircraft",Normal,Box,Promotional release with airlines including British Airways.
1809-1,Aeroplane,Basic,Basic,,1996.0,29.0,0.0,/inventories/1809-1,,,"New: $7, Used: $1",,,"Aircraft, Airline Promo, Airplane, Microscale, Polybag, Propeller Aircraft",Normal,Polybag,Promotional release with airlines including German airline Condor.
1815-1,Paradisa Lifeguard,Modern day,Town,Paradisa,1996.0,36.0,2.0,/inventories/1815-1,/minifigs/inset-1815-1,,"New: $36, Used: $33",4.0,1review,"Beach, Dolphin, Lifeguard, Parrot",Normal,Box,Limited release.
1817-1,Sea Plane with Hut and Boat,Modern day,Town,Special,1996.0,135.0,3.0,/inventories/1817-1,/minifigs/inset-1817-1,$15.00,"New: $34, Used: $15",4.0,2,"Aircraft, Airline Promo, Airplane, Bbq, Forest, House, Propeller Aircraft, Rowing Boat, Seaplane",Normal,Box,Promotional release with airlines including British Airways.
1818-1,Aircraft and Ground Support Equipment and Vehicle.,Modern day,Town,Special,1996.0,203.0,3.0,/inventories/1818-1,/minifigs/inset-1818-1,$24.00,"New: Not known, Used: $88",5.0,1review,"Aircraft, Airline Promo, Airport, Propeller Aircraft, Trailer",Normal,Box,Promotional release with airlines including Finnair and Austrian Airways.
1821-1,Rally Racers,Modern day,Town,Racing,1996.0,196.0,3.0,/inventories/1821-1,/minifigs/inset-1821-1,$11.00,"New: $52, Used: $22",5.0,1review,"Octan, Racing, Truck",Normal,Box,Limited release.
1823-1,Yacht,Basic,Basic,,1996.0,10.0,0.0,/inventories/1823-1,,,"New: $3, Used: $1",4.0,1review,Polybag,Normal,Polybag,"Promotional release with Sabah newspaper, Turkey. Also Danone, Belgium."
1843-1,(Unnamed),Action/Adventure,Space,Spyrius,1996.0,105.0,2.0,,/minifigs/inset-1843-1,,"New: $80, Used: $25",4.0,1review,,Normal,Box,NA only.Packaged with 1843-2 
1843-2,(Unnamed),Historical,Castle,Royal Knights,1996.0,48.0,0.0,,,$8.00,"New: Not known, Used: Not known",3.3,3,"Catapult, Space, Spaceship",Normal,Box,NA only.Packaged with 1843-1 
1846-1,Freestyle Set,Basic,Freestyle,,1996.0,25.0,0.0,,,,"New: Not known, Used: Not known",,,Polybag,Normal,Polybag,
1847-1,Freestyle Set,Basic,Freestyle,,1996.0,33.0,1.0,,/minifigs/inset-1847-1,,"New: $9, Used: Not known",,,Polybag,Normal,Polybag,
1853-1,Hypno Cruiser,Action/Adventure,Time Cruisers,,1996.0,157.0,2.0,,/minifigs/inset-1853-1,,"New: $60, Used: $17",3.0,2,"Aircraft, Helicopter, Monkey, Time Machine, Trailer",Normal,Tub,NA only. Came in a purple storage tub with lid.Same as 6492-1 
1854-1,House with Roof-Windows,Modern day,Town,Special,1996.0,144.0,2.0,,/minifigs/inset-1854-1,$23.00,"New: $70, Used: $51",4.0,2,"Baseplate, House",Normal,Box,"Promotional release with Velux windows, Denmark."
1856-1,Water Park Tub,Pre-school,Duplo,,1996.0,71.0,0.0,,,,"New: Not known, Used: Not known",,,,Normal,Tub,
1857-1,Super Value Brick Pack,Basic,Basic,,1996.0,950.0,0.0,,,,"New: Not known, Used: $72",,,,Normal,Box,Limited release.Similar to 1819-1 
1858-1,Droid Scout,Action/Adventure,Space,Exploriens,1996.0,23.0,1.0,/inventories/1858-1,/minifigs/inset-1858-1,,"New: $27, Used: $13",4.0,2,Spaceship,Normal,Box,
1859-1,Aeroplane,Basic,Basic,,1996.0,9.0,0.0,/inventories/1859-1,,,"New: $4, Used: $1",,,"Aircraft, Polybag",Normal,Polybag,"Promotional release with Sabah newspaper, Turkey. Also Danone, Belgium."
1861-1,Box of Bricks,Pre-school,Duplo,,1996.0,,0.0,,,,"New: Not known, Used: Not known",,,,Normal,,
1866-1,Stack-n-Learn Sampler,Pre-school,Duplo,,1996.0,2.0,0.0,,,,"New: Not known, Used: Not known",,,Polybag,Normal,Polybag,
1868-1,Freestyle Box,Basic,Freestyle,,1996.0,220.0,0.0,,,,"New: Not known, Used: Not known",,,,Normal,Box,
1869-1,South African Flag,Basic,Basic,,1996.0,80.0,0.0,,,,"New: Not known, Used: $2",,,,Normal,,Limited release. South Africa.
2004-1,Jumbo Building Tub,Pre-school,Duplo,Primo,1996.0,51.0,1.0,,/minifigs/inset-2004-1,,"New: Not known, Used: Not known",,,,Normal,Tub,
2005-1,Duplo Primo,Pre-school,Primo,,1996.0,17.0,1.0,,/minifigs/inset-2005-1,,"New: Not known, Used: Not known",,,,Normal,,
2006-1,Primo Box,Pre-school,Duplo,Primo,1996.0,19.0,0.0,,,,"New: Not known, Used: Not known",,,,Normal,Box,
2078-1,Starter Box,Pre-school,Primo,,1996.0,4.0,0.0,,,,"New: Not known, Used: Not known",,,,Normal,,
2091-1,Primo Tumbler,Pre-school,Duplo,Primo,1996.0,20.0,1.0,,/minifigs/inset-2091-1,,"New: Not known, Used: Not known",,,,Normal,,
2092-1,Primo Cannister,Pre-school,Duplo,Primo,1996.0,10.0,1.0,,/minifigs/inset-2092-1,,"New: Not known, Used: Not known",,,,Normal,,
2100-1,Souvenir Box,Basic,Basic,,1996.0,,0.0,,,,"New: Not known, Used: Not known",,,,Normal,Box,
2119-1,Small Freestyle Bucket,Basic,Freestyle,,1996.0,,0.0,,,,"New: Not known, Used: Not known",,,,Normal,Bucket,Blue bucket with red handle and green lid.
2120-1,Freestyle Set,Basic,Freestyle,,1996.0,,0.0,,,,"New: Not known, Used: Not known",,,,Normal,Box,
2140-1,Roadside Recovery Van and Tow Truck,Modern day,Town,Special,1996.0,255.0,3.0,,/minifigs/inset-2140-1,,"New: $180, Used: $53",4.0,1review,"ANWB, Car, Netherlands, Octan, Service Vehicle, Transport Vehicle, Truck",Normal,Box,"Promotional release with ANWB, Holland. Price Fl. 49,95 (Dutch Guilders)"
2146-1,Sort and Store Suitcase,Basic,Freestyle,,1996.0,803.0,2.0,,/minifigs/inset-2146-1,,"New: Not known, Used: Not known",,,Baseplate,Normal,,
2150-1,Train Station,Modern day,Trains,9V,1996.0,599.0,8.0,,/minifigs/inset-2150-1,$73.00,"New: $484, Used: $307",3.8,5,"Coffee Machine, Lamppost, Mail, Railway Building, Raised Baseplate, Restaurant, Trackside Structure, Trailer, Train Station",Normal,Box,Limited release. Similar to 4554-1 
2220-1,Build 'n' Play Fire Theme,Pre-school,Duplo,,1996.0,54.0,3.0,,/minifigs/inset-2220-1,,"New: Not known, Used: Not known",,,,Normal,,
2221-1,Build 'n' Play Circus Theme,Pre-school,Duplo,,1996.0,81.0,4.0,,/minifigs/inset-2221-1,,"New: Not known, Used: Not known",,,,Normal,,
2321-1,Happy Birthday Building Set,Pre-school,Duplo,,1996.0,32.0,1.0,/inventories/2321-1,/minifigs/inset-2321-1,,"New: Not known, Used: Not known",,,,Normal,,Medium boxed set.
2339-1,Basic Box,Pre-school,Duplo,,1996.0,49.0,0.0,/inventories/2339-1,,,"New: Not known, Used: Not known",,,,Normal,,Medium boxed set. From 18 months.
2346-1,Train Oval Suitcase,Pre-school,Duplo,,1996.0,54.0,2.0,,/minifigs/inset-2346-1,,"New: Not known, Used: Not known",,,,Normal,Other,
2349-1,Basic Storage Unit,Pre-school,Duplo,,1996.0,41.0,1.0,,/minifigs/inset-2349-1,,"New: Not known, Used: Not known",,,,Normal,,Oval-shaped green carry case set. From 2 years.
2356-1,Duplo Jumbo Tub,Pre-school,Duplo,,1996.0,117.0,3.0,/inventories/2356-1,/minifigs/inset-2356-1,,"New: Not known, Used: Not known",,,,Normal,,Green and yellow tub. 117-pieces.
2673-1,Motorcycle Patrol,Pre-school,Duplo,,1996.0,5.0,1.0,/inventories/2673-1,/minifigs/inset-2673-1,$7.00,"New: $5, Used: $7",,,,Normal,,
2674-1,Racing Team,Pre-school,Duplo,,1996.0,7.0,2.0,,/minifigs/inset-2674-1,$10.00,"New: $10, Used: Not known",,,,Normal,,
2683-1,Police Station,Pre-school,Duplo,,1996.0,34.0,3.0,/inventories/2683-1,/minifigs/inset-2683-1,,"New: Not known, Used: $20",,,"Aircraft, Camera, Dog, Helicopter, Police, Police Car, Police Helicopter, Police Station, Propeller Aircraft",Normal,,
2685-1,Water Park,Pre-school,Duplo,,1996.0,47.0,4.0,,/minifigs/inset-2685-1,,"New: Not known, Used: Not known",,,,Normal,Box,
2694-1,Play Farm,Pre-school,Duplo,,1996.0,40.0,3.0,/inventories/2694-1,/minifigs/inset-2694-1,,"New: Not known, Used: Not known",,,"Chicken, Cow, Farm, Pig",Normal,,
2695-1,Pony Carriage,Pre-school,Duplo,,1996.0,3.0,1.0,/inventories/2695-1,/minifigs/inset-2695-1,$5.00,"New: Not known, Used: $7",,,,Normal,,
2696-1,Farm Tractor,Pre-school,Duplo,,1996.0,10.0,1.0,/inventories/2696-1,/minifigs/inset-2696-1,$13.00,"New: $27, Used: $13",5.0,1review,,Normal,,
2697-1,Farm Animals,Pre-school,Duplo,,1996.0,16.0,1.0,/inventories/2697-1,/minifigs/inset-2697-1,$16.00,"New: $26, Used: $10",,,,Normal,,
2698-1,Farm,Pre-school,Duplo,,1996.0,32.0,0.0,,,,"New: Not known, Used: Not known",,,,Normal,,
2699-1,The DUPLO Farm,Pre-school,Duplo,,1996.0,64.0,4.0,/inventories/2699-1,/minifigs/inset-2699-1,$66.00,"New: $120, Used: $29",,,"Chicken, Cow, Farm, Pig",Normal,,
2731-1,Push-Along Play Train,Pre-school,Duplo,Trains,1996.0,9.0,1.0,/inventories/2731-1,/minifigs/inset-2731-1,$15.00,"New: $30, Used: $14",5.0,1review,"Freight Train, Steam Locomotive",Normal,,
2739-1,Tip Wagon,Pre-school,Duplo,Trains,1996.0,10.0,0.0,/inventories/2739-1,,$6.75,"New: Not known, Used: $6",,,Freight Wagon,Normal,,
2741-1,Electric Train Starter Set,Pre-school,Duplo,Trains,1996.0,34.0,2.0,/inventories/2741-1,/minifigs/inset-2741-1,,"New: $86, Used: Not known",4.0,1review,Passenger Train,Normal,,
2745-1,Deluxe Electric Train Set,Pre-school,Duplo,Trains,1996.0,83.0,3.0,/inventories/2745-1,/minifigs/inset-2745-1,$100.00,"New: $213, Used: $69",,,"Car, Electric, Electric Motor, Freight Train, Freight Wagon, Level Crossing, Trackside Structure, Trailer, Train Track",Normal,,
2781-1,Bathroom,Pre-school,Duplo,,1996.0,24.0,2.0,,/minifigs/inset-2781-1,,"New: $35, Used: Not known",,,,Normal,,
2791-1,Playground,Pre-school,Duplo,,1996.0,31.0,2.0,,/minifigs/inset-2791-1,$22.00,"New: Not known, Used: Not known",,,,Normal,,
2917-1,Aeroplane,Pre-school,Duplo,Toolo,1996.0,19.0,1.0,,/minifigs/inset-2917-1,$20.00,"New: Not known, Used: $33",,,Aircraft,Normal,,
2935-1,Fire Engine,Pre-school,Duplo,Toolo,1996.0,34.0,3.0,/inventories/2935-1,/minifigs/inset-2935-1,,"New: Not known, Used: $22",,,"Duplo Screwdriver, Fire Truck",Normal,,
4002-1,Riptide Racer,Modern day,Boats,,1996.0,54.0,1.0,/inventories/4002-1,/minifigs/inset-4002-1,$13.00,"New: $38, Used: $14",4.6,5,"Boat, Floats On Water, Powerboat, Racing",Normal,Box,
4012-1,Wave Cops,Modern day,Boats,,1996.0,99.0,2.0,/inventories/4012-1,/minifigs/inset-4012-1,$20.00,"New: $75, Used: $14",4.8,4,"Boat, Floats On Water, Police, Police Boat, Police Ship",Normal,Box,
4022-1,C26 Sea Cutter,Modern day,Boats,,1996.0,193.0,3.0,/inventories/4022-1,/minifigs/inset-4022-1,$30.00,"New: $178, Used: $29",5.0,4,"Boat, Coast Guard, Floats On Water, Ship",Normal,Box,
4135-1,"Freestyle Canister, 3+",Basic,Freestyle,,1996.0,121.0,0.0,/inventories/4135-1,,$10.00,"New: Not known, Used: Not known",,,,Normal,,Medium boxed set with green building plate lid.
4147-1,"Freestyle Canister, 4+",Basic,Freestyle,,1996.0,187.0,0.0,,,$15.50,"New: Not known, Used: Not known",,,,Normal,Box,Large boxed set with green building plate lid.
4532-1,Manual Level Crossing,Modern day,Trains,9V,1996.0,135.0,1.0,/inventories/4532-1,/minifigs/inset-4532-1,$24.00,"New: $157, Used: $44",3.8,5,"9V, Electric, Level Crossing, Railway Building, Road Baseplate, Trackside Structure, Train Track",Normal,Box,
4559-1,Cargo Railway,Modern day,Trains,9V,1996.0,842.0,7.0,/inventories/4559-1,/minifigs/inset-4559-1,$130.00,"New: $504, Used: $150",4.6,9,"9V, Bedroom, Cargo, Electric, Electric Motor, Mail, Octan, Passenger Train, Power Adapter, Public Transport, Safe, Trackside Structure, Train Track, Truck",Normal,Box,
4565-1,Freight and Crane Railway,Modern day,Trains,9V,1996.0,914.0,3.0,/inventories/4565-1,/minifigs/inset-4565-1,$140.00,"New: $224, Used: $170",4.9,7,"4X8 Container, 9V, Cargo, Crane, Diesel Locomotive, Electric, Electric Motor, Freight Train, Freight Wagon, Light Brick, Power Adapter, Road Baseplate, Trackside Structure, Train Track, Transport Vehicle, Truck",Normal,Box,
5027-1,Duplo Start / Stop Rail Plus Straight Rail,Miscellaneous,Service Packs,Duplo,1996.0,3.0,0.0,,,,"New: $9, Used: Not known",,,Polybag,Normal,Polybag,
5028-1,Duplo Primo Plate 4 x 4 Blue,Miscellaneous,Service Packs,Primo,1996.0,1.0,0.0,,,,"New: Not known, Used: Not known",,,Polybag,Normal,Polybag,
